metric,tag,trainer_step,raw_value,smoothed_value
train_mean_reward,Reward / Total reward (mean),185600.0,97.42459106445312,90.86974102531467
train_mean_reward,Reward / Total reward (mean),186400.0,89.20640563964844,90.53707394818142
train_mean_reward,Reward / Total reward (mean),187200.0,100.78529357910156,92.58671787436545
train_mean_reward,Reward / Total reward (mean),188000.0,88.90776062011719,91.8509264235158
train_mean_reward,Reward / Total reward (mean),188800.0,94.44630432128906,92.37000200307045
train_mean_reward,Reward / Total reward (mean),189600.0,102.10032653808594,94.31606691007354
train_mean_reward,Reward / Total reward (mean),190400.0,89.7728500366211,93.40742353538306
train_mean_reward,Reward / Total reward (mean),191200.0,100.79888916015625,94.88571666033769
train_mean_reward,Reward / Total reward (mean),192000.0,58.8097038269043,87.67051409365101
train_mean_reward,Reward / Total reward (mean),192800.0,78.24925994873047,85.7862632646669
train_mean_reward,Reward / Total reward (mean),193600.0,85.55888366699219,85.74078734513195
train_mean_reward,Reward / Total reward (mean),194400.0,90.66520690917969,86.7256712579415
train_mean_reward,Reward / Total reward (mean),195200.0,64.90006256103516,82.36054951856023
train_mean_reward,Reward / Total reward (mean),196000.0,59.611812591552734,77.81080213315875
train_mean_reward,Reward / Total reward (mean),196800.0,80.91561126708984,78.43176395994496
train_mean_reward,Reward / Total reward (mean),197600.0,99.22884368896484,82.59117990574893
train_mean_reward,Reward / Total reward (mean),198400.0,91.4552001953125,84.36398396366164
train_mean_reward,Reward / Total reward (mean),199200.0,93.95806884765625,86.28280094046056
train_mean_reward,Reward / Total reward (mean),200000.0,64.06641387939453,81.83952352824735
episode_termination_success,Episode_Termination/success,800.0,0.0,0.0
episode_termination_success,Episode_Termination/success,1600.0,0.9166666865348816,0.1833333373069763
episode_termination_success,Episode_Termination/success,2400.0,0.6315789222717285,0.27298245429992674
episode_termination_success,Episode_Termination/success,3200.0,0.8888888955116272,0.39616374254226683
episode_termination_success,Episode_Termination/success,4000.0,0.8888888955116272,0.49470877313613887
episode_termination_success,Episode_Termination/success,4800.0,0.0,0.3957670185089111
episode_termination_success,Episode_Termination/success,5600.0,0.7272727489471436,0.4620681645965576
episode_termination_success,Episode_Termination/success,6400.0,1.0,0.5696545316772461
episode_termination_success,Episode_Termination/success,7200.0,0.25,0.5057236253417969
episode_termination_success,Episode_Termination/success,8000.0,0.3571428656578064,0.4760074734049988
episode_termination_success,Episode_Termination/success,8800.0,0.5714285969734192,0.49509169811868287
episode_termination_success,Episode_Termination/success,9600.0,0.8333333134651184,0.56274002118797
episode_termination_success,Episode_Termination/success,11200.0,0.6153846383094788,0.5732689446122717
episode_termination_success,Episode_Termination/success,12000.0,1.0,0.6586151556898174
episode_termination_success,Episode_Termination/success,12800.0,0.4000000059604645,0.6068921257439468
episode_termination_success,Episode_Termination/success,13600.0,0.875,0.6605137005951575
episode_termination_success,Episode_Termination/success,14400.0,0.0,0.528410960476126
episode_termination_success,Episode_Termination/success,15200.0,0.5,0.5227287683809008
episode_termination_success,Episode_Termination/success,16000.0,0.7777777910232544,0.5737385729093715
episode_termination_success,Episode_Termination/success,16800.0,0.875,0.6339908583274971
episode_termination_success,Episode_Termination/success,17600.0,0.7857142686843872,0.6643355403988751
episode_termination_success,Episode_Termination/success,18400.0,0.6470588445663452,0.6608802012323691
episode_termination_success,Episode_Termination/success,19200.0,0.7272727489471436,0.674158710775324
episode_termination_success,Episode_Termination/success,20000.0,0.7586206793785095,0.6910511044959611
episode_termination_success,Episode_Termination/success,20800.0,0.987500011920929,0.7503408859809546
episode_termination_success,Episode_Termination/success,21600.0,0.9714285731315613,0.7945584234110759
episode_termination_success,Episode_Termination/success,22400.0,1.0,0.8356467387288606
episode_termination_success,Episode_Termination/success,23200.0,1.0,0.8685173909830886
episode_termination_success,Episode_Termination/success,24000.0,0.9729729890823364,0.8894085106029381
episode_termination_success,Episode_Termination/success,24800.0,1.0,0.9115268084823505
episode_termination_success,Episode_Termination/success,25600.0,1.0,0.9292214467858804
episode_termination_success,Episode_Termination/success,26400.0,0.9655172228813171,0.9364806020049677
episode_termination_success,Episode_Termination/success,27200.0,1.0,0.9491844816039742
episode_termination_success,Episode_Termination/success,28000.0,0.9444444179534912,0.9482364688738776
episode_termination_success,Episode_Termination/success,28800.0,1.0,0.958589175099102
episode_termination_success,Episode_Termination/success,29600.0,0.9473684430122375,0.9563450286817292
episode_termination_success,Episode_Termination/success,30400.0,1.0,0.9650760229453834
episode_termination_success,Episode_Termination/success,31200.0,0.9259259104728699,0.9572460004508807
episode_termination_success,Episode_Termination/success,32000.0,1.0,0.9657968003607046
episode_termination_success,Episode_Termination/success,32800.0,1.0,0.9726374402885637
episode_termination_success,Episode_Termination/success,33600.0,0.9629629850387573,0.9707025492386024
episode_termination_success,Episode_Termination/success,34400.0,0.9772727489471436,0.9720165891803106
episode_termination_success,Episode_Termination/success,35200.0,1.0,0.9776132713442485
episode_termination_success,Episode_Termination/success,36000.0,1.0,0.9820906170753988
episode_termination_success,Episode_Termination/success,36800.0,0.9642857313156128,0.9785296399234416
episode_termination_success,Episode_Termination/success,37600.0,0.9642857313156128,0.9756808582018759
episode_termination_success,Episode_Termination/success,38400.0,0.9411764740943909,0.9687799813803789
episode_termination_success,Episode_Termination/success,39200.0,0.9655172228813171,0.9681274296805665
episode_termination_success,Episode_Termination/success,40000.0,0.9545454382896423,0.9654110314023816
episode_termination_success,Episode_Termination/success,40800.0,0.95652174949646,0.9636331750211973
episode_termination_success,Episode_Termination/success,41600.0,0.9743589758872986,0.9657783351944176
episode_termination_success,Episode_Termination/success,42400.0,1.0,0.9726226681555341
episode_termination_success,Episode_Termination/success,43200.0,0.8823529481887817,0.9545687241621836
episode_termination_success,Episode_Termination/success,44000.0,0.9285714030265808,0.949369259935063
episode_termination_success,Episode_Termination/success,44800.0,0.9354838728904724,0.946592182526145
episode_termination_success,Episode_Termination/success,45600.0,1.0,0.957273746020916
episode_termination_success,Episode_Termination/success,46400.0,0.9655172228813171,0.9589224413929962
episode_termination_success,Episode_Termination/success,47200.0,1.0,0.967137953114397
episode_termination_success,Episode_Termination/success,48000.0,0.8947368264198303,0.9526577277754836
episode_termination_success,Episode_Termination/success,48800.0,0.9714285731315613,0.9564118968466992
episode_termination_success,Episode_Termination/success,49600.0,1.0,0.9651295174773594
episode_termination_success,Episode_Termination/success,50400.0,0.9599999785423279,0.964103609690353
episode_termination_success,Episode_Termination/success,51200.0,1.0,0.9712828877522824
episode_termination_success,Episode_Termination/success,52000.0,0.9523809552192688,0.9675025012456797
episode_termination_success,Episode_Termination/success,52800.0,0.9655172228813171,0.9671054455728072
episode_termination_success,Episode_Termination/success,53600.0,1.0,0.9736843564582458
episode_termination_success,Episode_Termination/success,54400.0,0.9729729890823364,0.973542082983064
episode_termination_success,Episode_Termination/success,55200.0,1.0,0.9788336663864512
episode_termination_success,Episode_Termination/success,56000.0,0.9583333134651184,0.9747335958021845
episode_termination_success,Episode_Termination/success,56800.0,1.0,0.9797868766417477
episode_termination_success,Episode_Termination/success,57600.0,0.931034505367279,0.970036402386854
episode_termination_success,Episode_Termination/success,58400.0,1.0,0.9760291219094832
episode_termination_success,Episode_Termination/success,59200.0,0.8181818127632141,0.9444596600802294
episode_termination_success,Episode_Termination/success,60000.0,0.8333333134651184,0.9222343907572073
episode_termination_success,Episode_Termination/success,60800.0,0.8181818127632141,0.9014238751584086
episode_termination_success,Episode_Termination/success,61600.0,0.9285714030265808,0.906853380732043
episode_termination_success,Episode_Termination/success,62400.0,0.9130434989929199,0.9080914043842184
episode_termination_success,Episode_Termination/success,63200.0,1.0,0.9264731235073748
episode_termination_success,Episode_Termination/success,64000.0,0.939393937587738,0.9290572863234474
episode_termination_success,Episode_Termination/success,64800.0,1.0,0.943245829058758
episode_termination_success,Episode_Termination/success,65600.0,0.9047619104385376,0.935549045334714
episode_termination_success,Episode_Termination/success,66400.0,1.0,0.9484392362677712
episode_termination_success,Episode_Termination/success,67200.0,0.8999999761581421,0.9387513842458454
episode_termination_success,Episode_Termination/success,68000.0,0.9629629850387573,0.9435937044044278
episode_termination_success,Episode_Termination/success,68800.0,1.0,0.9548749635235423
episode_termination_success,Episode_Termination/success,69600.0,0.9615384340286255,0.956207657624559
episode_termination_success,Episode_Termination/success,70400.0,0.9696969985961914,0.9589055258188854
episode_termination_success,Episode_Termination/success,71200.0,1.0,0.9671244206551084
episode_termination_success,Episode_Termination/success,72000.0,0.9750000238418579,0.9686995412924583
episode_termination_success,Episode_Termination/success,72800.0,1.0,0.9749596330339666
episode_termination_success,Episode_Termination/success,73600.0,0.9615384340286255,0.9722753932328984
episode_termination_success,Episode_Termination/success,74400.0,0.9615384340286255,0.9701280013920438
episode_termination_success,Episode_Termination/success,75200.0,0.9599999785423279,0.9681023968221005
episode_termination_success,Episode_Termination/success,76000.0,0.9642857313156128,0.967339063720803
