metric,tag,iteration,raw_value,smoothed_value
train_mean_reward,Train/mean_reward,124.0,26.538410186767578,26.889589183217904
train_mean_reward,Train/mean_reward,125.0,26.538410186767578,26.81935338392784
train_mean_reward,Train/mean_reward,126.0,26.538410186767578,26.76316474449579
train_mean_reward,Train/mean_reward,127.0,26.7778377532959,26.76609934625581
train_mean_reward,Train/mean_reward,128.0,26.7778377532959,26.76844702766383
train_mean_reward,Train/mean_reward,129.0,26.60288429260254,26.73533448065157
train_mean_reward,Train/mean_reward,130.0,26.60288429260254,26.708844443041766
train_mean_reward,Train/mean_reward,131.0,26.60288429260254,26.68765241295392
train_mean_reward,Train/mean_reward,132.0,26.60288429260254,26.670698788883644
train_mean_reward,Train/mean_reward,133.0,26.60288429260254,26.657135889627423
train_mean_reward,Train/mean_reward,134.0,26.60288429260254,26.646285570222446
train_mean_reward,Train/mean_reward,135.0,26.60288429260254,26.637605314698465
train_mean_reward,Train/mean_reward,136.0,26.60288429260254,26.63066111027928
train_mean_reward,Train/mean_reward,137.0,26.60288429260254,26.625105746743934
train_mean_reward,Train/mean_reward,138.0,26.74074935913086,26.648234469221318
train_mean_reward,Train/mean_reward,139.0,27.026287078857422,26.72384499114854
train_mean_reward,Train/mean_reward,140.0,27.579896926879883,26.895055378294806
train_mean_reward,Train/mean_reward,141.0,27.579896926879883,27.032023688011822
train_mean_reward,Train/mean_reward,142.0,29.569658279418945,27.539550606293247
train_mean_reward,Train/mean_reward,143.0,31.462644577026367,28.32416940043987
train_mean_reward,Train/mean_reward,144.0,31.462644577026367,28.951864435757173
train_mean_reward,Train/mean_reward,145.0,31.462644577026367,29.45402046401101
train_mean_reward,Train/mean_reward,146.0,34.49074935913086,30.46136624303498
train_mean_reward,Train/mean_reward,147.0,34.49074935913086,31.267242866254158
train_mean_reward,Train/mean_reward,148.0,35.479331970214844,32.10966068704629
train_mean_reward,Train/mean_reward,149.0,36.494937896728516,32.986716128982735
train_mean_reward,Train/mean_reward,150.0,37.48420715332031,33.88621433385025
train_mean_reward,Train/mean_reward,151.0,37.48420715332031,34.60581289774426
train_mean_reward,Train/mean_reward,152.0,40.36482238769531,35.75761479573447
train_mean_reward,Train/mean_reward,153.0,40.36482238769531,36.67905631412664
train_mean_reward,Train/mean_reward,154.0,41.35575866699219,37.61439678469975
train_mean_reward,Train/mean_reward,155.0,41.99184036254883,38.489885500269565
train_mean_reward,Train/mean_reward,156.0,42.6297607421875,39.31786054865315
train_mean_reward,Train/mean_reward,157.0,42.6297607421875,39.98024058736002
train_mean_reward,Train/mean_reward,158.0,42.6297607421875,40.51014461832552
train_mean_reward,Train/mean_reward,159.0,42.6297607421875,40.934067843097914
train_mean_reward,Train/mean_reward,160.0,43.59701919555664,41.46665811358966
train_mean_reward,Train/mean_reward,161.0,44.57032012939453,42.08739051675063
train_mean_reward,Train/mean_reward,162.0,44.57032012939453,42.58397643927941
train_mean_reward,Train/mean_reward,163.0,44.57032012939453,42.98124517730244
