metric,tag,iteration,mean,std,seed_0,seed_1,raw_seed_0,raw_seed_1
train_mean_reward,Train/mean_reward,399.936,85.43029165459387,0.5462883075866642,85.97657996218054,84.88400334700721,85.55686950683594,92.42355346679688
train_mean_reward,Train/mean_reward,412.43399999999997,85.87213936005205,0.23498549772949673,85.63715386232255,86.10712485778154,84.27944946289062,90.9996109008789
train_mean_reward,Train/mean_reward,424.93199999999996,85.21596190002896,0.43785615025879565,84.77810574977016,85.65381805028775,81.34191329956062,83.8405908203126
train_mean_reward,Train/mean_reward,437.42999999999995,84.50648352453976,0.4994621815595721,84.0070213429802,85.00594570609934,80.92268371582031,82.41445632934565
train_mean_reward,Train/mean_reward,449.928,83.98858144243455,0.5984276248863267,83.39015381754822,84.58700906732088,80.92268371582031,82.91126251220703
train_mean_reward,Train/mean_reward,462.426,83.56467125288563,0.6680114556829864,82.89665979720264,84.23268270856862,80.92268371582031,82.81537727355958
train_mean_reward,Train/mean_reward,474.924,83.13162714513076,1.4402857026323233,81.69134144249844,84.57191284776309,76.87006802368164,85.928833404541
train_mean_reward,Train/mean_reward,487.42199999999997,83.30853810526477,2.58115922616836,80.7273788790964,85.88969733143313,76.87152862548828,91.16083526611328
train_mean_reward,Train/mean_reward,499.91999999999996,83.47250721150674,3.5673985418233656,79.90510866968337,87.0399057533301,76.61602783203125,91.64073944091797
train_mean_reward,Train/mean_reward,512.418,83.6441760801795,4.7338695094230445,78.91030657075646,88.37804558960255,74.93109817504882,93.73060493469238
train_mean_reward,Train/mean_reward,524.9159999999999,83.83711810413385,5.755488448114612,78.08162965601923,89.59260655224845,74.76692199707031,94.45085040283203
train_mean_reward,Train/mean_reward,537.414,84.17892877133198,6.4748181281816315,77.70411064315034,90.6537468995136,76.19403459167481,94.89830828857421
