metric,env_steps,ppo_mean,ppo_std,dreamer_mean,dreamer_std,ppo_seed_0,ppo_seed_1,dreamer_seed_0,dreamer_seed_1
mean_episode_return,38400.0,81.90998992919921,5.430879211425783,12.102694950335554,8.750186022735335,87.340869140625,76.47911071777344,3.352508927600219,20.85288097307089
mean_episode_return,39600.0,84.03638715744019,6.369632244110107,13.14960499221468,9.663312213104653,90.4060194015503,77.66675491333008,3.4862927791100287,22.812917205319334
mean_episode_return,40800.0,85.84776191711427,4.919015121459957,14.26010912550692,10.706269627733212,90.76677703857422,80.9287467956543,3.5538394977737084,24.966378753240132
mean_episode_return,42000.0,86.57386798858643,4.1715007781982365,15.427780798198125,11.846104814246775,90.74536876678467,82.40236721038819,3.5816759839513495,27.2738856124449
mean_episode_return,43200.0,86.66157684326171,3.2488693237304673,16.595452470889327,12.985940000760339,89.91044616699219,83.41270751953125,3.6095124701289905,29.581392471649668
mean_episode_return,44400.0,87.30722856521606,2.238328456878662,17.763124143580534,14.125775187273902,89.54555702209473,85.0689001083374,3.6373489563066315,31.888899330854436
mean_episode_return,45600.0,88.40837116241455,0.7413873672485352,18.975637220370448,15.261775612522294,89.14975852966309,87.66698379516602,3.713861607848155,34.237412832892744
mean_episode_return,46800.0,90.22488517761231,1.2747814178466825,20.54088378464176,16.109181145490478,88.95010375976562,91.49966659545899,4.4317026391512835,36.65006493013224
mean_episode_return,48000.0,91.14048538208007,2.1903816223144545,22.106130348913073,16.95658667845866,88.95010375976562,93.33086700439453,5.149543670454413,39.06271702737173
mean_episode_return,49200.0,90.06985015869141,2.2268402099609403,23.671376913184385,17.80399221142684,87.84300994873047,92.29669036865235,5.867384701757542,41.47536912461123
mean_episode_return,50400.0,89.09843444824219,3.54156494140625,25.6461995390362,18.226400639136287,85.55686950683594,92.63999938964844,7.419798899899915,43.87260017817248
mean_episode_return,51600.0,88.69030323028565,3.931821250915526,27.466250099755456,18.74995272635099,84.75848197937012,92.62212448120117,8.716297373404469,46.216202826106446
mean_episode_return,52800.0,87.71176376342774,3.432314300537115,29.286300660474712,19.27350481356569,84.27944946289062,91.14407806396486,10.012795846909022,48.5598054740404
mean_episode_return,54000.0,86.0563793182373,2.2473649978637695,31.10635122119397,19.797056900780397,83.80901432037354,88.30374431610107,11.309294320413576,50.903408121974365
mean_episode_return,55200.0,81.55200214385987,0.3328859329223661,33.65249919704731,19.550354620522892,81.2191162109375,81.88488807678223,14.102144576524418,53.2028538175702
mean_episode_return,56400.0,81.78961400985719,0.8446978569030748,35.39907626342956,19.36813986669595,80.94491615295411,82.63431186676026,16.030936396733612,54.76721613012551
mean_episode_return,57600.0,81.9144386291504,0.9917549133300767,37.145653329811815,19.185925112869008,80.92268371582031,82.90619354248047,17.959728216942807,56.33157844268082
mean_episode_return,58800.0,81.8521556854248,0.9294719696044922,38.892230396194066,19.00371035904207,80.92268371582031,82.7816276550293,19.888520037152,57.89594075523614
mean_episode_return,60000.0,81.70739612579345,1.801133155822754,40.638807462576324,18.821495605215127,79.9062629699707,83.5085292816162,21.817311857361194,59.46030306779145
mean_episode_return,61200.0,81.33707704544067,4.468911647796631,41.708898149670134,18.788703785773727,76.86816539764403,85.8059886932373,22.920194363896407,60.49760193544386
mean_episode_return,62400.0,83.70346527099609,6.83193664550781,43.4017224991148,18.068035631015963,76.87152862548828,90.5354019165039,25.33368686809883,61.46975813013076
mean_episode_return,63600.0,85.20408248901367,8.33255386352539,45.09454684855945,17.347367476258192,76.87152862548828,93.53663635253906,27.747179372301257,62.441914324817645
mean_episode_return,64800.0,84.55963802337646,8.327423667907723,46.78737119800411,16.626699321500425,76.23221435546874,92.88706169128419,30.16067187650368,63.414070519504534
mean_episode_return,66000.0,84.26907405853271,9.485121536254887,47.89260818817294,16.251577109533258,74.78395252227783,93.7541955947876,31.64103107863968,64.1441852977062
mean_episode_return,67200.0,84.43060150146485,9.688226318359376,49.804319693655174,14.977402328942684,74.74237518310547,94.11882781982422,34.82691736471249,64.78172202259786
mean_episode_return,68400.0,84.86323194503785,9.63763246536255,51.71603119913741,13.70322754835211,75.2255994796753,94.5008644104004,38.0128036507853,65.41925874748952
