metric,env_steps,ppo_mean,ppo_std,dreamer_mean,dreamer_std,ppo_seed_0,ppo_seed_1,dreamer_seed_0,dreamer_seed_1,ppo_raw_seed_0,ppo_raw_seed_1,dreamer_raw_seed_0,dreamer_raw_seed_1
mean_episode_return,77000.0,69.79639122173899,2.4084092591490034,77.69469491730888,5.419208610784075,72.204800480888,67.38798196258999,72.27548630652481,83.11390352809296,76.4724850654602,95.35296297073364,74.59593285105706,81.82691649066925
mean_episode_return,78000.0,72.13860499007362,1.8994293581871773,77.83203892860543,5.203360127418023,74.0380343482608,70.23917563188644,72.6286788011874,83.03539905602345,76.19719982147217,91.63178539276123,76.10897015879631,81.28254998981475
mean_episode_return,79000.0,74.44980508089066,1.7104288481530716,77.97517227615191,4.9118815296328435,76.16023392904373,72.73937623273758,73.06329074651906,82.88705380578475,75.92191457748413,87.91060781478882,77.62200746653556,80.73818348896027
mean_episode_return,80000.0,76.61457817327408,1.3805988686425366,78.12409495994835,4.544772817428537,77.99517704191662,75.23397930463155,73.57932214251981,82.66886777737689,75.6466293334961,84.1894302368164,79.13504477427482,80.19381698810578
mean_episode_return,81000.0,78.72096941016969,1.0015992153258537,78.30031719395575,4.088799326320782,79.72256862549554,77.71937019484383,74.21151786763497,82.38911652027653,79.14514780044556,80.39234495162964,81.37772452936649,79.82323702626229
mean_episode_return,82000.0,80.67821353673935,0.6129438791956261,78.4953865349903,3.6112975842426565,81.29115741593498,80.06526965754372,74.88408895074764,82.10668411923295,82.64366626739502,76.59525966644287,83.67112809095859,79.46473848156928
mean_episode_return,83000.0,82.12324953363054,0.37268882422220173,78.7086114243703,3.117012701368971,82.49593835785275,81.75056070940835,75.59159872300134,81.82562412573928,86.14218473434448,72.7981743812561,85.96453165255069,79.10623993687629
mean_episode_return,84000.0,82.71627220085689,0.49829991090865633,78.93999186209581,2.6059446776997035,83.21457211176555,82.21797228994824,76.33404718439611,81.54593653979552,87.07157707214355,57.298396825790405,88.2579352141428,78.7477413921833
mean_episode_return,85000.0,82.37233023842177,1.0441436043807428,79.18952784816679,2.078093513234869,83.4164738428025,81.32818663404102,77.11143433493191,81.26762136140165,87.35868787765503,38.872946202754974,90.5513387757349,78.38924284749031
mean_episode_return,86000.0,81.35947976935478,2.3243767860389895,79.35517028091493,1.5299487226647983,83.68385655539376,79.03510298331578,77.82522155825013,80.88511900357973,87.6457986831665,20.447495579719543,90.77543139379621,75.81399297626018
mean_episode_return,87000.0,79.91218580731324,4.120111826629866,79.48079069123858,0.919096535052347,84.0322976339431,75.79207398068337,78.56169415618623,80.39988722629093,88.26003456115723,11.542450457811356,90.8556681708634,73.08463739783764
mean_episode_return,88000.0,78.18675836140201,6.285423639984359,79.56993215986054,0.24260536513254038,84.47218200138637,71.90133472141765,79.327326794728,79.81253752499308,89.09235382080078,8.984342336654663,90.93590494793058,70.3552818194151
mean_episode_return,89000.0,76.41581192612648,8.420020260981147,79.62259468678074,0.49952478709460024,84.83583218710763,67.99579166514533,80.12211947387534,79.12306989968614,89.92467308044434,6.426234215497971,91.01614172499777,67.62592624099254
mean_episode_return,90000.0,74.7573545603525,10.31737660794031,79.63877827199929,1.3072939216290749,85.07473116829281,64.43997795241219,80.94607219362835,78.3314843503702,90.61844158172607,8.200563132762909,91.09637850206495,64.89657066257
