metric,tag,trainer_step,mean,std,seed_0,seed_1,raw_seed_0,raw_seed_1
train_mean_reward,Reward / Total reward (mean),5600.0,50.85878842048045,12.472191348517878,38.386597071962576,63.33097976899833,65.4451904296875,96.49494934082031
train_mean_reward,Reward / Total reward (mean),6000.0,56.893700734553306,11.004383098955909,45.8893176355974,67.89808383350922,75.90019989013672,86.16650009155273
train_mean_reward,Reward / Total reward (mean),6400.0,61.73428660692976,7.751790628334646,53.98249597859511,69.4860772352644,86.35520935058594,75.83805084228516
train_mean_reward,Reward / Total reward (mean),6800.0,66.15905022670592,4.96508530418139,61.19396492252452,71.1241355308873,90.03984069824219,77.6763687133789
train_mean_reward,Reward / Total reward (mean),7200.0,70.25115604440182,2.551089697202535,67.7000663471993,72.80224574160437,93.72447204589844,79.51468658447266
train_mean_reward,Reward / Total reward (mean),7600.0,72.0474111178701,1.9572692339583142,70.09014188391178,74.00468035182841,79.65044403076172,78.81441879272461
train_mean_reward,Reward / Total reward (mean),8000.0,72.00698559595624,2.8195888857018048,69.18739671025443,74.82657448165804,65.576416015625,78.11415100097656
train_mean_reward,Reward / Total reward (mean),8400.0,72.64775118123276,4.012125194865149,68.63562598636761,76.65987637609791,66.42854309082031,83.99308395385742
train_mean_reward,Reward / Total reward (mean),8800.0,73.83346965226161,5.468834829964386,68.36463482229722,79.30230448222599,67.28067016601562,89.87201690673828
train_mean_reward,Reward / Total reward (mean),9200.0,74.89721700598896,6.303104362994944,68.59411264299402,81.20032136898391,69.51202392578125,88.79238891601562
train_mean_reward,Reward / Total reward (mean),9600.0,75.86338746587515,6.639421814370564,69.22396565150459,82.50280928024571,71.74337768554688,87.71276092529297
train_mean_reward,Reward / Total reward (mean),10000.0,71.24546096356772,3.281916875591598,67.96354408797613,74.52737783915933,62.921857833862305,42.62565207481384
train_mean_reward,Reward / Total reward (mean),10400.0,62.16025689150543,3.0306459753110246,65.19090286681646,59.12961091619441,54.100337982177734,-2.461456775665283
train_mean_reward,Reward / Total reward (mean),10800.0,55.66880655213714,5.539679367414653,61.2084859195518,50.12912718472249,45.278818130493164,14.127192258834839
train_mean_reward,Reward / Total reward (mean),11200.0,51.252359198924076,5.0058891924790885,56.258248391403164,46.24647000644499,36.457298278808594,30.71584129333496
train_mean_reward,Reward / Total reward (mean),11600.0,52.48105462979966,6.320835983957636,58.801890613757294,46.16021864584202,68.97645950317383,45.815213203430176
train_mean_reward,Reward / Total reward (mean),12000.0,58.22586428794617,9.114772348567477,67.34063663651365,49.111091939378696,101.49562072753906,60.91458511352539
train_mean_reward,Reward / Total reward (mean),12400.0,56.6921541664867,8.661415647637554,65.35356981412426,48.03073851884915,57.40530252456665,43.70932483673096
train_mean_reward,Reward / Total reward (mean),12800.0,49.33562822134244,5.610224494275819,54.94585271561826,43.72540372706662,13.314984321594238,26.504064559936523
train_mean_reward,Reward / Total reward (mean),13200.0,45.70256534410276,7.102319819877444,52.8048851639802,38.600245524225315,44.24101495742798,18.099612712860107
train_mean_reward,Reward / Total reward (mean),13600.0,45.04827292118675,12.229044328649753,57.2773172498365,32.819228592536994,75.16704559326172,9.695160865783691
train_mean_reward,Reward / Total reward (mean),14000.0,43.576765166554495,12.667081507460207,56.243846674014705,30.90968365909429,52.10996437072754,23.271503925323486
train_mean_reward,Reward / Total reward (mean),14400.0,41.45148514654926,9.354168822301173,50.805653968850436,32.09731632424809,29.05288314819336,36.84784698486328
train_mean_reward,Reward / Total reward (mean),14800.0,40.09581650850528,8.201555482493037,48.297371990998315,31.89426102601224,38.264244079589844,31.082039833068848
train_mean_reward,Reward / Total reward (mean),15200.0,39.3558369760303,8.77718161896562,48.13301859499592,30.578655357064676,47.47560501098633,25.316232681274414
train_mean_reward,Reward / Total reward (mean),15600.0,42.15812129057156,9.407729239111706,51.56585052968326,32.75039205145985,65.29717826843262,41.43733882904053
train_mean_reward,Reward / Total reward (mean),16000.0,47.794216682725796,10.08221404619659,57.87643072892239,37.712002636529206,83.1187515258789,57.55844497680664
train_mean_reward,Reward / Total reward (mean),16400.0,53.8960237902114,8.680714359821042,62.57673815003244,45.215309430390356,81.37796783447266,75.22853660583496
